#
# MD1: a minimal molecular dynamics program
#
# Problema 3
#  Input sample: amostra10.cry
#                                (only positions read from file)
# Output sample: amostra10.md1
# Number of steps:   20000, time step: 0.0100, total time:    200.0000
# Number of atoms:   256
# Box size:    6.200000    6.200000    6.200000, Volume:        238.328
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000128      0.000193     -7.446029     -7.445836      0.046938
      2      0.001115      0.001673     -7.447529     -7.445856      0.039173
      3      0.002887      0.004330     -7.450220     -7.445890      0.025249
      4      0.005085      0.007628     -7.453559     -7.445932      0.008006
      5      0.007278      0.010917     -7.456888     -7.445971     -0.009130
      6      0.009053      0.013580     -7.459581     -7.446001     -0.022898
      7      0.010105      0.015157     -7.461171     -7.446014     -0.030877
      8      0.010289      0.015433     -7.461443     -7.446010     -0.031960
      9      0.009645      0.014467     -7.460457     -7.445990     -0.026505
     10      0.008377      0.012566     -7.458526     -7.445960     -0.016184
     11      0.006802      0.010204     -7.456129     -7.445926     -0.003551
     12      0.005273      0.007910     -7.453805     -7.445896      0.008563
     13      0.004099      0.006149     -7.452025     -7.445877      0.017688
     14      0.003482      0.005223     -7.451094     -7.445871      0.022249
     15      0.003476      0.005214     -7.451095     -7.445881      0.021855
     16      0.003990      0.005985     -7.451886     -7.445900      0.017303
     17      0.004819      0.007229     -7.453154     -7.445925      0.010282
     18      0.005707      0.008560     -7.454509     -7.445949      0.002898
     19      0.006411      0.009616     -7.455581     -7.445965     -0.002880
     20      0.006763      0.010144     -7.456114     -7.445970     -0.005689
     21      0.006702      0.010053     -7.456018     -7.445965     -0.005063
     22      0.006286      0.009429     -7.455379     -7.445950     -0.001485
     23      0.005664      0.008496     -7.454427     -7.445931      0.003797
     24      0.005034      0.007552     -7.453464     -7.445912      0.009139
     25      0.004591      0.006887     -7.452786     -7.445899      0.012948
     26      0.004470      0.006704     -7.452600     -7.445895      0.014101
     27      0.004714      0.007071     -7.452972     -7.445901      0.012230
     28      0.005267      0.007900     -7.453815     -7.445914      0.007798
     29      0.005987      0.008980     -7.454913     -7.445932      0.001954
     30      0.006688      0.010031     -7.455981     -7.445950     -0.003779
     31      0.007186      0.010779     -7.456742     -7.445963     -0.007905
     32      0.007351      0.011027     -7.456994     -7.445967     -0.009344
     33      0.007135      0.010703     -7.456666     -7.445963     -0.007695
     34      0.006586      0.009879     -7.455829     -7.445950     -0.003333
     35      0.005833      0.008750     -7.454683     -7.445933      0.002690
     36      0.005059      0.007589     -7.453504     -7.445915      0.008913
     37      0.004450      0.006675     -7.452576     -7.445901      0.013828
     38      0.004152      0.006228     -7.452122     -7.445894      0.016254
     39      0.004233      0.006350     -7.452246     -7.445896      0.015628
     40      0.004670      0.007006     -7.452913     -7.445907      0.012140
     41      0.005354      0.008031     -7.453954     -7.445923      0.006666
     42      0.006118      0.009177     -7.455117     -7.445941      0.000546
     43      0.006780      0.010170     -7.456125     -7.445955     -0.004762
     44      0.007188      0.010782     -7.456746     -7.445964     -0.008035
     45      0.007255      0.010883     -7.456847     -7.445964     -0.008572
     46      0.006977      0.010465     -7.456422     -7.445957     -0.006341
     47      0.006430      0.009645     -7.455588     -7.445943     -0.001962
     48      0.005749      0.008624     -7.454552     -7.445928      0.003474
     49      0.005095      0.007643     -7.453557     -7.445914      0.008682
     50      0.004612      0.006918     -7.452823     -7.445905      0.012502
     51      0.004397      0.006595     -7.452497     -7.445902      0.014163
     52      0.004477      0.006716     -7.452622     -7.445906      0.013447
     53      0.004812      0.007218     -7.453134     -7.445915      0.010698
     54      0.005306      0.007958     -7.453886     -7.445927      0.006698
     55      0.005834      0.008751     -7.454690     -7.445939      0.002449
     56      0.006279      0.009418     -7.455365     -7.445947     -0.001089
     57      0.006552      0.009828     -7.455779     -7.445951     -0.003217
     58      0.006617      0.009925     -7.455875     -7.445949     -0.003639
     59      0.006488      0.009731     -7.455675     -7.445944     -0.002489
     60      0.006223      0.009334     -7.455270     -7.445936     -0.000254
     61      0.005905      0.008857     -7.454785     -7.445927      0.002384
     62      0.005618      0.008427     -7.454348     -7.445921      0.004740
     63      0.005425      0.008138     -7.454057     -7.445919      0.006298
     64      0.005357      0.008035     -7.453954     -7.445919      0.006824
     65      0.005404      0.008106     -7.454029     -7.445923      0.006387
     66      0.005530      0.008295     -7.454224     -7.445928      0.005308
     67      0.005681      0.008522     -7.454456     -7.445933      0.004031
     68      0.005807      0.008710     -7.454647     -7.445937      0.002981
     69      0.005872      0.008809     -7.454746     -7.445937      0.002439
     70      0.005871      0.008807     -7.454742     -7.445935      0.002463
     71      0.005822      0.008733     -7.454664     -7.445932      0.002892
     72      0.005762      0.008643     -7.454570     -7.445928      0.003416
     73      0.005732      0.008598     -7.454522     -7.445925      0.003690
     74      0.005761      0.008641     -7.454565     -7.445924      0.003468
     75      0.005854      0.008780     -7.454707     -7.445926      0.002699
     76      0.005987      0.008981     -7.454912     -7.445931      0.001566
     77      0.006115      0.009173     -7.455109     -7.445937      0.000448
     78      0.006179      0.009269     -7.455210     -7.445941     -0.000182
     79      0.006130      0.009195     -7.455139     -7.445944      0.000095
     80      0.005941      0.008912     -7.454855     -7.445943      0.001503
     81      0.005624      0.008436     -7.454374     -7.445938      0.003973
     82      0.005229      0.007843     -7.453774     -7.445930      0.007115
     83      0.004838      0.007257     -7.453178     -7.445921      0.010277
     84      0.004547      0.006821     -7.452734     -7.445913      0.012691
     85      0.004444      0.006667     -7.452574     -7.445907      0.013653
     86      0.004584      0.006875     -7.452782     -7.445907      0.012713
     87      0.004971      0.007456     -7.453367     -7.445912      0.009807
