#
# MD1: a minimal molecular dynamics program
#
# Problema 2
#  Input sample: a3.cry
#                                (only positions read from file)
# Output sample: a3.md1
# Number of steps:    1000, time step: 0.0032, total time:      3.2000
# Number of atoms:   108
# Box size:    4.650000    4.650000    4.650000, Volume:        100.545
# Density:    1.074150 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
      1      0.000012      0.000018     -7.435339     -7.435320      0.279083
      2      0.000110      0.000165     -7.435485     -7.435320      0.278305
      3      0.000303      0.000454     -7.435775     -7.435321      0.276765
      4      0.000587      0.000880     -7.436202     -7.435321      0.274497
      5      0.000956      0.001434     -7.436756     -7.435322      0.271549
      6      0.001402      0.002104     -7.437427     -7.435323      0.267982
      7      0.001917      0.002875     -7.438199     -7.435324      0.263873
      8      0.002488      0.003732     -7.439057     -7.435325      0.259305
      9      0.003104      0.004656     -7.439983     -7.435327      0.254375
     10      0.003752      0.005628     -7.440956     -7.435328      0.249184
     11      0.004419      0.006629     -7.441958     -7.435329      0.243838
     12      0.005092      0.007638     -7.442968     -7.435330      0.238441
     13      0.005756      0.008634     -7.443966     -7.435331      0.233103
     14      0.006400      0.009599     -7.444932     -7.435332      0.227926
     15      0.007010      0.010515     -7.445849     -7.435334      0.223008
     16      0.007575      0.011363     -7.446698     -7.435334      0.218443
     17      0.008086      0.012129     -7.447465     -7.435335      0.214309
     18      0.008533      0.012800     -7.448136     -7.435336      0.210681
     19      0.008910      0.013365     -7.448701     -7.435336      0.207615
     20      0.009211      0.013816     -7.449152     -7.435336      0.205160
     21      0.009433      0.014149     -7.449485     -7.435336      0.203341
     22      0.009573      0.014360     -7.449696     -7.435336      0.202181
     23      0.009634      0.014451     -7.449787     -7.435336      0.201680
     24      0.009616      0.014424     -7.449760     -7.435336      0.201831
     25      0.009521      0.014282     -7.449617     -7.435335      0.202612
     26      0.009356      0.014034     -7.449368     -7.435333      0.203986
     27      0.009126      0.013688     -7.449021     -7.435333      0.205906
     28      0.008835      0.013252     -7.448585     -7.435333      0.208323
     29      0.008491      0.012737     -7.448069     -7.435332      0.211173
     30      0.008103      0.012154     -7.447485     -7.435331      0.214386
     31      0.007679      0.011519     -7.446850     -7.435331      0.217883
     32      0.007230      0.010845     -7.446174     -7.435329      0.221587
     33      0.006763      0.010145     -7.445473     -7.435329      0.225414
     34      0.006291      0.009436     -7.444764     -7.435328      0.229280
     35      0.005823      0.008734     -7.444062     -7.435328      0.233097
     36      0.005368      0.008053     -7.443379     -7.435327      0.236791
     37      0.004937      0.007406     -7.442733     -7.435327      0.240284
     38      0.004539      0.006809     -7.442134     -7.435325      0.243509
     39      0.004180      0.006270     -7.441595     -7.435325      0.246404
     40      0.003866      0.005798     -7.441123     -7.435324      0.248922
     41      0.003601      0.005402     -7.440726     -7.435324      0.251019
     42      0.003392      0.005087     -7.440411     -7.435324      0.252667
     43      0.003239      0.004858     -7.440182     -7.435324      0.253846
     44      0.003143      0.004715     -7.440039     -7.435324      0.254550
     45      0.003106      0.004658     -7.439982     -7.435324      0.254783
     46      0.003124      0.004685     -7.440009     -7.435324      0.254561
     47      0.003194      0.004791     -7.440115     -7.435324      0.253909
     48      0.003313      0.004969     -7.440294     -7.435325      0.252863
     49      0.003475      0.005213     -7.440538     -7.435326      0.251466
     50      0.003675      0.005512     -7.440839     -7.435326      0.249769
     51      0.003905      0.005858     -7.441185     -7.435327      0.247829
     52      0.004158      0.006237     -7.441565     -7.435328      0.245708
     53      0.004426      0.006639     -7.441968     -7.435329      0.243467
     54      0.004703      0.007054     -7.442385     -7.435330      0.241167
     55      0.004980      0.007469     -7.442801     -7.435331      0.238876
     56      0.005249      0.007873     -7.443205     -7.435332      0.236655
     57      0.005502      0.008254     -7.443586     -7.435333      0.234560
     58      0.005734      0.008602     -7.443935     -7.435333      0.232646
